How do I ride a bike?,Athletic Activity
How long should short stories be?,Stationary Activity
How do I learn Korean Fan Dancing?,Stationary Activity
What is the best action movie in theatres now?,Stationary Activity
What is the best fishing spot in Brooklyn?,Stationary Activity
Where can I find handball lessons?,Athletic Activity
Where can I find acting lessons?,Stationary Activity
When is the best time to garden?,Stationary Activity
Which books are on the NY Times Bestseller list?,Stationary Activity
What's the cost of a snowboard?,Athletic Activity
How many players need to be on a rugby team?,Athletic Activity
How much fabric do you need to make a dress?,Stationary Activity
What kind of brushes do you need for calligraphy?,Stationary Activity
Where can you hike in California?,Athletic Activity
How do you win in chess?,Stationary Activity
How do I play the guitar?,Stationary Activity
Where can you get violin lessons?,Stationary Activity
Where can I learn more about origami?,Stationary Activity
How many people can play basketball in one team?,Athletic Activity
How do I play the clarinet?,Stationary Activity
Does cricket require team effort?,Athletic Activity
When is the next Assassin's Creed game coming out?,Stationary Activity
Where do I go to rock climb?,Athletic Activity
Where is the nearest ice skating rink?,Athletic Activity
Where can I take singing lessons?,Stationary Activity
What kind of shoes are needed for volleyball?,Athletic Activity
Where can I find a pottery wheel?,Stationary Activity
What is football?,Athletic Activity
Where can I swim?,Athletic Activity
What are some good crossword puzzles?,Stationary Activity
What are the different types of martial arts?,Athletic Activity
Do you need a permit to practice archery?,Athletic Activity
What is perfect frisbee weather?,Athletic Activity
How can I learn to sail a boat?,Athletic Activity
What is an easy pasta recipe?,Stationary Activity
How much yarn does it take to knit a scarf?,Stationary Activity
How light do kites need to be to take flight?,Stationary Activity
What are best break dancing teams in NYC?,Athletic Activity
How many herbs are needed to season steak?,Stationary Activity
Can only two people go bowling?,Athletic Activity
Can you skateboard in the park?,Athletic Activity
Which pop songs are trending in the US this week?,Stationary Activity
When is hunting season?,Athletic Activity
What are the different field positions in soccer?,Athletic Activity
How do you play tennis?,Athletic Activity
Where can I find a baton twirling team?,Athletic Activity
Is quidditch a real sport?,Athletic Activity
Is there a height limit for girls in ballet?,Athletic Activity
Where do you learn metalworking?,Stationary Activity
How do I learn to paint?,Stationary Activity
